question_id,category,difficulty,sensitive_info_level,iteration,method,pred_sql,gold_sql,ex,pred_rows,gold_rows,latency_ms,api_error,exec_error
UW001,고지의무,simple,medium,1,text2sql,"SELECT COUNT(DISTINCT insured_id) AS total_insured_count
FROM contracts
WHERE termination_reason = '고지의무위반';",SELECT COUNT(DISTINCT insured_id) FROM contracts WHERE termination_reason = '고지의무위반',1,1,1,2523.77,,
UW001,고지의무,simple,medium,2,text2sql,"SELECT COUNT(DISTINCT insured_id) AS total_insured_count
FROM contracts
WHERE termination_reason = '고지의무위반';",SELECT COUNT(DISTINCT insured_id) FROM contracts WHERE termination_reason = '고지의무위반',1,1,1,994.45,,
UW001,고지의무,simple,medium,3,text2sql,"SELECT COUNT(DISTINCT insured_id) AS total_insured_count
FROM contracts
WHERE termination_reason = '고지의무위반';",SELECT COUNT(DISTINCT insured_id) FROM contracts WHERE termination_reason = '고지의무위반',1,1,1,7223.4,,
UW002,고지의무,moderate,medium,1,text2sql,"SELECT strftime('%Y', termination_date) AS year, COUNT(*) AS count
FROM contracts
WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years')
GROUP BY year
ORDER BY year;","SELECT STRFTIME('%Y', termination_date) AS year, COUNT(*) AS cnt FROM contracts WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years') GROUP BY STRFTIME('%Y', termination_date) ORDER BY year",1,2,2,1933.27,,
UW002,고지의무,moderate,medium,2,text2sql,"SELECT 
    strftime('%Y', termination_date) AS year, 
    COUNT(*) AS count 
FROM 
    contracts 
WHERE 
    termination_reason = '고지의무위반' 
    AND termination_date >= DATE('now', '-3 years') 
GROUP BY 
    year 
ORDER BY 
    year;","SELECT STRFTIME('%Y', termination_date) AS year, COUNT(*) AS cnt FROM contracts WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years') GROUP BY STRFTIME('%Y', termination_date) ORDER BY year",1,2,2,1264.12,,
UW002,고지의무,moderate,medium,3,text2sql,"SELECT strftime('%Y', termination_date) AS year, COUNT(*) AS count
FROM contracts
WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years')
GROUP BY year
ORDER BY year;","SELECT STRFTIME('%Y', termination_date) AS year, COUNT(*) AS cnt FROM contracts WHERE termination_reason = '고지의무위반' AND termination_date >= DATE('now', '-3 years') GROUP BY STRFTIME('%Y', termination_date) ORDER BY year",1,2,2,1559.27,,
UW003,고지의무,moderate,high,1,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE termination_reason = '고지의무위반';",SELECT COUNT(*) FROM contracts WHERE termination_reason = '고지의무위반' AND causation_proven = 1,0,1,1,1268.29,,
UW003,고지의무,moderate,high,2,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE termination_reason = '고지의무위반';",SELECT COUNT(*) FROM contracts WHERE termination_reason = '고지의무위반' AND causation_proven = 1,0,1,1,727.02,,
UW003,고지의무,moderate,high,3,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE termination_reason = '고지의무위반';",SELECT COUNT(*) FROM contracts WHERE termination_reason = '고지의무위반' AND causation_proven = 1,0,1,1,941.13,,
UW004,고지의무,moderate,high,1,text2sql,"SELECT COUNT(DISTINCT insured_id) AS insured_count
FROM medical_history
WHERE treatment_date >= DATE('now', '-5 years');","SELECT COUNT(DISTINCT insured_id) FROM medical_history WHERE treatment_date BETWEEN contract_date AND DATE(contract_date, '+5 years') AND diagnosis_code = prior_diagnosis_code",0,1,1,1117.44,,
UW004,고지의무,moderate,high,2,text2sql,"SELECT COUNT(DISTINCT insured_id) AS insured_count
FROM medical_history
WHERE treatment_date >= DATE('now', '-5 years');","SELECT COUNT(DISTINCT insured_id) FROM medical_history WHERE treatment_date BETWEEN contract_date AND DATE(contract_date, '+5 years') AND diagnosis_code = prior_diagnosis_code",0,1,1,1026.3,,
UW004,고지의무,moderate,high,3,text2sql,"SELECT COUNT(DISTINCT insured_id) AS insured_count
FROM medical_history
WHERE treatment_date >= DATE('now', '-5 years');","SELECT COUNT(DISTINCT insured_id) FROM medical_history WHERE treatment_date BETWEEN contract_date AND DATE(contract_date, '+5 years') AND diagnosis_code = prior_diagnosis_code",0,1,1,2434.09,,
UW005,사기탐지,simple,high,1,text2sql,"SELECT COUNT(*) AS cancellation_count
FROM contracts
WHERE termination_reason = '진단서 위변조' OR termination_reason = '대리진단';","SELECT COUNT(*) FROM contracts WHERE cancellation_reason IN ('대리진단', '진단서위변조', '사기')",0,1,1,867.69,,
UW005,사기탐지,simple,high,2,text2sql,"SELECT COUNT(*) AS cancellation_count
FROM contracts
WHERE termination_reason = '진단서 위변조' OR termination_reason = '대리진단';","SELECT COUNT(*) FROM contracts WHERE cancellation_reason IN ('대리진단', '진단서위변조', '사기')",0,1,1,1150.36,,
UW005,사기탐지,simple,high,3,text2sql,"SELECT COUNT(*) AS cancellation_count
FROM contracts
WHERE termination_reason = '고지의무위반' OR termination_reason = '사기';","SELECT COUNT(*) FROM contracts WHERE cancellation_reason IN ('대리진단', '진단서위변조', '사기')",0,1,1,1145.08,,
